iter	Logloss
0	0.6897004344
1	0.685058597
2	0.6807211146
3	0.6768789081
4	0.671351472
5	0.6651278809
6	0.660122413
7	0.6558712771
8	0.6514074556
9	0.6482570374
10	0.6405301663
11	0.6381614207
12	0.6330387798
13	0.6288620961
14	0.6262014675
15	0.6226818986
16	0.6193608426
17	0.6160459095
18	0.6126499055
19	0.6094437052
20	0.605429494
21	0.6025292111
22	0.5986129869
23	0.5953523019
24	0.5918157852
25	0.5879300116
26	0.583753038
27	0.5788043142
28	0.5761293101
29	0.5732462627
30	0.5703908542
31	0.566638467
32	0.5631815313
33	0.5598259149
34	0.5565217653
35	0.5542921199
36	0.5518171799
37	0.5497278059
38	0.5458011117
39	0.5432522159
40	0.5398458472
41	0.5371307147
42	0.5346798397
43	0.5324549158
44	0.5290475326
45	0.5251746065
46	0.5228296571
47	0.5196480915
48	0.5171425043
49	0.5156741908
50	0.5121194512
51	0.5097065984
52	0.5067171417
53	0.5042160442
54	0.5029348207
55	0.5012045665
56	0.4995205771
57	0.497802896
58	0.494857787
59	0.4928172313
60	0.4893193597
61	0.4870594462
62	0.4826750535
63	0.4813799693
64	0.4785689691
65	0.4761016556
66	0.4745942976
67	0.4729463466
68	0.4706744077
69	0.4682155991
70	0.4669352697
71	0.4649517236
72	0.4632832426
73	0.4604671818
74	0.457351878
75	0.4556544639
76	0.4527152233
77	0.4505956904
78	0.4488849388
79	0.4475388837
80	0.4457762114
81	0.4443133428
82	0.4427835617
83	0.4401080945
84	0.4380745995
85	0.4352293316
86	0.4329770498
87	0.4312870435
88	0.4299358431
89	0.4272359614
90	0.4257238348
91	0.4239248254
92	0.4215508047
93	0.4202834669
94	0.4177945416
95	0.4159746941
96	0.4136946752
97	0.4114290087
98	0.4103952411
99	0.4078528371
100	0.4053165039
101	0.4029482724
102	0.4010065893
103	0.3986566538
104	0.397316973
105	0.3957308627
106	0.3929388036
107	0.3914106809
108	0.3895325539
109	0.3879709374
110	0.3852366864
111	0.3829349774
112	0.3815580873
113	0.3790219106
114	0.3774238007
115	0.3757280482
116	0.3743621173
117	0.3727487071
118	0.3710410764
119	0.3697380201
120	0.3685515963
121	0.3670342705
122	0.3640445816
123	0.3626856803
124	0.3615594489
125	0.359671054
126	0.3584065634
127	0.3572307047
128	0.3557152807
129	0.3535617718
130	0.3518376332
131	0.3496611977
132	0.3480833796
133	0.3467232391
134	0.3452844735
135	0.3433995212
136	0.3420513251
137	0.3402418683
138	0.3393739267
139	0.3373083278
140	0.3353907427
141	0.3338853591
142	0.3332215766
143	0.3316848093
144	0.3295913541
145	0.3285468551
146	0.3270125411
147	0.3261061165
148	0.3246414924
149	0.3237290346
150	0.3226940055
151	0.3212287615
152	0.3195633615
153	0.318891879
154	0.317777328
155	0.3169615413
156	0.3160317152
157	0.3145356565
158	0.3135793798
159	0.3119027035
160	0.3105027226
161	0.3090517014
162	0.3078058507
163	0.3066301943
164	0.3050285115
165	0.3040005501
166	0.3025099629
167	0.3007955341
168	0.2997022252
169	0.2986201858
170	0.2976507461
171	0.2964610567
172	0.2952103094
173	0.2939844879
174	0.2921052783
175	0.2908985864
176	0.2896638884
177	0.288855077
178	0.2875979184
179	0.2861050171
180	0.2854953147
181	0.2843230758
182	0.2828879887
183	0.2811159904
184	0.2800101296
185	0.2784631287
186	0.2774369311
187	0.2762792836
188	0.2745620318
189	0.2727791987
190	0.2719033363
191	0.2709161576
192	0.2696586619
193	0.268304492
194	0.267258609
195	0.2662146689
196	0.2648609304
197	0.2632969673
198	0.2617264169
199	0.2608003033
