iter	Passed	Remaining
0	3	732
1	7	727
2	11	728
3	15	744
4	19	753
5	24	786
6	28	799
7	33	808
8	38	822
9	43	830
10	49	852
11	55	863
12	59	859
13	64	859
14	70	864
15	76	876
16	82	892
17	89	906
18	96	920
19	104	937
20	112	957
21	130	1052
22	145	1121
23	172	1263
24	192	1347
25	205	1374
26	217	1392
27	226	1389
28	233	1378
29	242	1373
30	251	1372
31	259	1360
32	264	1336
33	270	1318
34	276	1303
35	289	1316
36	295	1302
37	301	1286
38	307	1267
39	312	1249
40	317	1231
41	322	1213
42	328	1198
43	333	1183
44	338	1166
45	344	1151
46	350	1141
47	356	1128
48	364	1124
49	370	1110
50	375	1097
51	381	1086
52	392	1088
53	397	1075
54	403	1063
55	408	1051
56	414	1039
57	419	1028
58	425	1017
59	432	1008
60	438	998
61	443	987
62	449	978
63	456	969
64	461	958
65	467	949
66	478	950
67	488	947
68	499	948
69	507	942
70	515	936
71	523	931
72	534	930
73	543	925
74	549	915
75	559	912
76	568	908
77	577	902
78	587	899
79	594	892
80	603	886
81	608	875
82	614	866
83	621	857
84	628	850
85	634	841
86	641	833
87	646	823
88	652	813
89	657	803
90	662	793
91	667	783
92	672	773
93	677	764
94	682	754
95	687	745
96	692	735
97	698	726
98	703	717
99	709	709
100	714	700
101	719	691
102	725	682
103	729	673
104	734	664
105	739	656
106	745	648
107	760	647
108	765	639
109	770	630
110	776	622
111	782	614
112	787	606
113	792	597
114	797	589
115	802	580
116	807	572
117	812	564
118	817	556
119	821	547
120	826	539
121	831	531
122	835	523
123	840	514
124	845	507
125	850	499
126	855	491
127	860	483
128	865	476
129	870	468
130	874	460
131	879	453
132	884	445
133	888	437
134	893	430
135	897	422
136	902	414
137	906	407
138	911	400
139	916	392
140	946	396
141	955	390
142	964	384
143	974	379
144	986	374
145	995	368
146	1004	362
147	1010	354
148	1017	348
149	1023	341
150	1028	333
151	1034	326
152	1040	319
153	1047	312
154	1054	306
155	1060	299
156	1068	292
157	1076	286
158	1082	279
159	1090	272
160	1097	265
161	1103	258
162	1108	251
163	1113	244
164	1119	237
165	1124	230
166	1129	223
167	1135	216
168	1140	209
169	1145	202
170	1151	195
171	1156	188
172	1161	181
173	1166	174
174	1171	167
175	1176	160
176	1180	153
177	1186	146
178	1191	139
179	1196	132
180	1201	126
181	1206	119
182	1212	112
183	1231	107
184	1234	100
185	1238	93
186	1243	86
187	1247	79
188	1252	72
189	1256	66
190	1260	59
191	1265	52
192	1269	46
193	1274	39
194	1278	32
195	1283	26
196	1287	19
197	1292	13
198	1296	6
199	1301	0
